protein_id	specie
HIN_006603	HI
HIN_006605	HI
HIN_006610	HI
HIN_006615	HI
HIN_006627	HI
HIN_006636	HI
HIN_006642	HI
HIN_006643	HI
HIN_008098	HI
HIN_008113	HI
HIN_008117	HI
HIN_008119	HI
HIN_024423	HI
HIN_046325	HI
HIN_046339	HI
HIN_055948	HI
HIN_055977	HI
HIN_055994	HI
HIN_056000	HI
HIN_065599	HI
HIN_073296	HI
HIN_073302	HI
HIN_073329	HI
HIN_073335	HI
HIN_073336	HI
HIN_073341	HI
HIN_006748	HI
HIN_006764	HI
HIN_006765	HI
HIN_006817	HI
HIN_006828	HI
HIN_014075	HI
HIN_014078	HI
HIN_022889	HI
HIN_026422	HI
HIN_028773	HI
HIN_041683	HI
HIN_041689	HI
HIN_051629	HI
HIN_051679	HI
HIN_051680	HI
HIN_051686	HI
HIN_051706	HI
HIN_051723	HI
HIN_055871	HI
HIN_079455	HI
HIN_082568	HI
HIN_085922	HI
HIN_088809	HI
HIN_090837	HI
HIN_090839	HI
HIN_093182	HI
HIN_095206	HI
HIN_099337	HI
HIN_003446	HI
HIN_030176	HI
HIN_059666	HI
HIN_070237	HI
HIN_070243	HI
HIN_077552	HI
HIN_090788	HI
HIN_090789	HI
HIN_090790	HI
HIN_090791	HI
HIN_090794	HI
HIN_090796	HI
HIN_090798	HI
HIN_090800	HI
HIN_090801	HI
HIN_090802	HI
HIN_093877	HI
HIN_093881	HI
HIN_093883	HI
HIN_093886	HI
HIN_093887	HI
HIN_093889	HI
HIN_093890	HI
HIN_093892	HI
HIN_093939	HI
HIN_094494	HI
HIN_094698	HI
HIN_094711	HI
HIN_016446	HI
HIN_050064	HI
HIN_062152	HI
HIN_067655	HI
HIN_072472	HI
HIN_072480	HI
HIN_096388	HI
HIN_005334	HI
HIN_005335	HI
HIN_005339	HI
HIN_026881	HI
HIN_026883	HI
HIN_026885	HI
HIN_026887	HI
HIN_030189	HI
HIN_030191	HI
HIN_030193	HI
HIN_030195	HI
HIN_036011	HI
HIN_036013	HI
HIN_036015	HI
HIN_036017	HI
HIN_039373	HI
HIN_039376	HI
HIN_039377	HI
HIN_039378	HI
HIN_039379	HI
HIN_078575	HI
HIN_081525	HI
HIN_088938	HI
HIN_090572	HI
HIN_010941	HI
HIN_011020	HI
HIN_011081	HI
HIN_011083	HI
HIN_011087	HI
HIN_011089	HI
HIN_011102	HI
HIN_011118	HI
HIN_011120	HI
HIN_011157	HI
HIN_011158	HI
HIN_011164	HI
HIN_064771	HI
HIN_064778	HI
HIN_064783	HI
HIN_064784	HI
HIN_064804	HI
HIN_064816	HI
HIN_068341	HI
HIN_068352	HI
HIN_068407	HI
HIN_068410	HI
HIN_068425	HI
HIN_068426	HI
HIN_068431	HI
HIN_068433	HI
HIN_068434	HI
HIN_076225	HI
HIN_099982	HI
HIN_005089	HI
HIN_005095	HI
HIN_005117	HI
HIN_005118	HI
HIN_005124	HI
HIN_005126	HI
HIN_005129	HI
HIN_007844	HI
HIN_012299	HI
HIN_012301	HI
HIN_012303	HI
HIN_012305	HI
HIN_012306	HI
HIN_012307	HI
HIN_012308	HI
HIN_012309	HI
HIN_012319	HI
HIN_012320	HI
HIN_012321	HI
HIN_012334	HI
HIN_012340	HI
HIN_038911	HI
HIN_059245	HI
HIN_096891	HI
HIN_007903	HI
HIN_028924	HI
HIN_040766	HI
HIN_052042	HI
HIN_053840	HI
HIN_053841	HI
HIN_053890	HI
HIN_055613	HI
HIN_056906	HI
HIN_056907	HI
HIN_056940	HI
HIN_056947	HI
HIN_056949	HI
HIN_059338	HI
HIN_066267	HI
HIN_066284	HI
HIN_066287	HI
HIN_066289	HI
HIN_068839	HI
HIN_074059	HI
HIN_074061	HI
HIN_074063	HI
HIN_074070	HI
HIN_096636	HI
HIN_100032	HI
HIN_100688	HI
HIN_037296	HI
HIN_037305	HI
HIN_037324	HI
HIN_044244	HI
HIN_044249	HI
HIN_044250	HI
HIN_044254	HI
HIN_064539	HI
HIN_064540	HI
HIN_064545	HI
HIN_064546	HI
HIN_037242	HI
HIN_037244	HI
HIN_044206	HI
HIN_058045	HI
HIN_064498	HI
HIN_072523	HI
HIN_072524	HI
HIN_072553	HI
HIN_072554	HI
HIN_072564	HI
HIN_072566	HI
HIN_072567	HI
HIN_080275	HI
HIN_080276	HI
HIN_080301	HI
HIN_080302	HI
HIN_080316	HI
HIN_080318	HI
HIN_097249	HI
HIN_098031	HI
HIN_098032	HI
HIN_001129	HI
HIN_037644	HI
HIN_079095	HI
HIN_079097	HI
HIN_079158	HI
HIN_083036	HI
HIN_083060	HI
HIN_083066	HI
HIN_090685	HI
HIN_090696	HI
HIN_090701	HI
HIN_090703	HI
HIN_092126	HI
HIN_092132	HI
HIN_092135	HI
HIN_092140	HI
HIN_098702	HI
HIN_098813	HI
HIN_017908	HI
HIN_062870	HI
HIN_009077	HI
HIN_045018	HI
HIN_057005	HI
HIN_086416	HI
HIN_016902	HI
HIN_017900	HI
HIN_023080	HI
HIN_023083	HI
HIN_023089	HI
HIN_023090	HI
HIN_023096	HI
HIN_023097	HI
HIN_023104	HI
HIN_026075	HI
HIN_044023	HI
HIN_044024	HI
HIN_044029	HI
HIN_047410	HI
HIN_047411	HI
HIN_068281	HI
HIN_068286	HI
HIN_072019	HI
HIN_073790	HI
HIN_074124	HI
HIN_077071	HI
HIN_020148	HI
HIN_022540	HI
HIN_039629	HI
HIN_049401	HI
HIN_062959	HI
HIN_088992	HI
HIN_026546	HI
HIN_063520	HI
HIN_072103	HI
HIN_081621	HI
HIN_097739	HI
HIN_018796	HI
HIN_018797	HI
HIN_018807	HI
HIN_018808	HI
HIN_018811	HI
HIN_018812	HI
HIN_020000	HI
HIN_020002	HI
HIN_020003	HI
HIN_020004	HI
HIN_055012	HI
HIN_063664	HI
HIN_063665	HI
HIN_063666	HI
HIN_073635	HI
HIN_073636	HI
HIN_073637	HI
HIN_073638	HI
HIN_026271	HI
HIN_026280	HI
HIN_026286	HI
HIN_026654	HI
HIN_026655	HI
HIN_026667	HI
HIN_026673	HI
HIN_039161	HI
HIN_039170	HI
HIN_039176	HI
HIN_045953	HI
HIN_045959	HI
HIN_045965	HI
HIN_070563	HI
HIN_071757	HI
HIN_071770	HI
HIN_071777	HI
HIN_076659	HI
HIN_091828	HI
HIN_000853	HI
HIN_009087	HI
HIN_009090	HI
HIN_009110	HI
HIN_009111	HI
HIN_026416	HI
HIN_026423	HI
HIN_026452	HI
HIN_029113	HI
HIN_029133	HI
HIN_029136	HI
HIN_075858	HI
HIN_078294	HI
HIN_078295	HI
HIN_078306	HI
HIN_078308	HI
HIN_091417	HI
HIN_004534	HI
HIN_004556	HI
HIN_031586	HI
HIN_031590	HI
HIN_031617	HI
HIN_066747	HI
HIN_066751	HI
HIN_066753	HI
HIN_077214	HI
HIN_077247	HI
HIN_077252	HI
HIN_077271	HI
HIN_077272	HI
HIN_078093	HI
HIN_078094	HI
HIN_099025	HI
HIN_099029	HI
HIN_099939	HI
HIN_007962	HI
HIN_018071	HI
HIN_027645	HI
HIN_028343	HI
HIN_044226	HI
HIN_058035	HI
HIN_067434	HI
HIN_072594	HI
HIN_072595	HI
HIN_072620	HI
HIN_073750	HI
HIN_074360	HI
HIN_078092	HI
HIN_080427	HI
HIN_084740	HI
HIN_090388	HI
HIN_095404	HI
HIN_082502	HI
HIN_014709	HI
HIN_035316	HI
HIN_047019	HI
HIN_065616	HI
HIN_068917	HI
HIN_071006	HI
HIN_073169	HI
HIN_079289	HI
HIN_079302	HI
HIN_087430	HI
HIN_092808	HI
HIN_094896	HI
HIN_096744	HI
HIN_097643	HI
HIN_098870	HI
HIN_015343	HI
HIN_015369	HI
HIN_029566	HI
HIN_029589	HI
HIN_060540	HI
HIN_086039	HI
HIN_018509	HI
HIN_018514	HI
HIN_018515	HI
HIN_018517	HI
HIN_025927	HI
HIN_033502	HI
HIN_033507	HI
HIN_033508	HI
HIN_033510	HI
HIN_044530	HI
HIN_083192	HI
HIN_083805	HI
HIN_083806	HI
HIN_083812	HI
HIN_088168	HI
HIN_089753	HI
HIN_092478	HI
HIN_021503	HI
HIN_049171	HI
HIN_064957	HI
HIN_068357	HI
HIN_022602	HI
HIN_022604	HI
HIN_022606	HI
HIN_022608	HI
HIN_028523	HI
HIN_028525	HI
HIN_028527	HI
HIN_043013	HI
HIN_043016	HI
HIN_043531	HI
HIN_043533	HI
HIN_043535	HI
HIN_091943	HI
HIN_091945	HI
HIN_091947	HI
HIN_091949	HI
HIN_022958	HI
HIN_022963	HI
HIN_022964	HI
HIN_022965	HI
HIN_025980	HI
HIN_039648	HI
HIN_059474	HI
HIN_063001	HI
HIN_064066	HI
HIN_064086	HI
HIN_088769	HI
HIN_088771	HI
HIN_088776	HI
HIN_088778	HI
HIN_088792	HI
HIN_095269	HI
HIN_013024	HI
HIN_019381	HI
HIN_019383	HI
HIN_019390	HI
HIN_019397	HI
HIN_067104	HI
HIN_067117	HI
HIN_067126	HI
HIN_067128	HI
HIN_086830	HI
HIN_086837	HI
HIN_086844	HI
HIN_086846	HI
HIN_086855	HI
HIN_086868	HI
HIN_005608	HI
HIN_005620	HI
HIN_027592	HI
HIN_027607	HI
HIN_027619	HI
HIN_041844	HI
HIN_044825	HI
HIN_046631	HI
HIN_018943	HI
HIN_018968	HI
HIN_018997	HI
HIN_019007	HI
HIN_019818	HI
HIN_019829	HI
HIN_019875	HI
HIN_028800	HI
HIN_028802	HI
HIN_028839	HI
HIN_089699	HI
HIN_089732	HI
HIN_024942	HI
HIN_024946	HI
HIN_024958	HI
HIN_027419	HI
HIN_027422	HI
HIN_027443	HI
HIN_027448	HI
HIN_027454	HI
HIN_040212	HI
HIN_040222	HI
HIN_040225	HI
HIN_067012	HI
HIN_067017	HI
HIN_026136	HI
HIN_026147	HI
HIN_026148	HI
HIN_026152	HI
HIN_026179	HI
HIN_032837	HI
HIN_034661	HI
HIN_039793	HI
HIN_039805	HI
HIN_050195	HI
HIN_085234	HI
HIN_085248	HI
HIN_030584	HI
HIN_030601	HI
HIN_030604	HI
HIN_049978	HI
HIN_049981	HI
HIN_082020	HI
HIN_082039	HI
HIN_086619	HI
HIN_070211	HI
HIN_070221	HI
HIN_070222	HI
HIN_070223	HI
HIN_094509	HI
HIN_094510	HI
HIN_094520	HI
HIN_095360	HI
HIN_095372	HI
HIN_095373	HI
HIN_003657	HI
HIN_008806	HI
HIN_030037	HI
HIN_032667	HI
HIN_035528	HI
HIN_035539	HI
HIN_049018	HI
HIN_062853	HI
HIN_003777	HI
HIN_011025	HI
HIN_029039	HI
HIN_050821	HI
HIN_050824	HI
HIN_053721	HI
HIN_070474	HI
HIN_075785	HI
HIN_086673	HI
HIN_087764	HI
HIN_088851	HI
HIN_097449	HI
HIN_005252	HI
HIN_070208	HI
HIN_070547	HI
HIN_071860	HI
HIN_076678	HI
HIN_089501	HI
HIN_091810	HI
HIN_094523	HI
HIN_095357	HI
HIN_011097	HI
HIN_024321	HI
HIN_019219	HI
HIN_019355	HI
HIN_049495	HI
HIN_053405	HI
HIN_053406	HI
HIN_053538	HI
HIN_067161	HI
HIN_020043	HI
HIN_040877	HI
HIN_040882	HI
HIN_051920	HI
HIN_051924	HI
HIN_055517	HI
HIN_063598	HI
HIN_066437	HI
HIN_073699	HI
HIN_088511	HI
HIN_094831	HI
HIN_098173	HI
HIN_020930	HI
HIN_020937	HI
HIN_020951	HI
HIN_064581	HI
HIN_064593	HI
HIN_081305	HI
HIN_081309	HI
HIN_081313	HI
HIN_091008	HI
HIN_098146	HI
HIN_098535	HI
HIN_099129	HI
HIN_052898	HI
HIN_054936	HI
HIN_075580	HI
HIN_081471	HI
HIN_088271	HI
HIN_088285	HI
HIN_001636	HI
HIN_023711	HI
HIN_056365	HI
HIN_056366	HI
HIN_067210	HI
HIN_072723	HI
HIN_084482	HI
HIN_096546	HI
HIN_001794	HI
HIN_012384	HI
HIN_016186	HI
HIN_034840	HI
HIN_045172	HI
HIN_047076	HI
HIN_057511	HI
HIN_061762	HI
HIN_063863	HI
HIN_070320	HI
HIN_085543	HI
HIN_003085	HI
HIN_010388	HI
HIN_010390	HI
HIN_025669	HI
HIN_025739	HI
HIN_025749	HI
HIN_027118	HI
HIN_027899	HI
