protein_id	specie
HIN_014048	hin
HIN_041716	hin
HIN_041732	hin
HIN_041735	hin
HIN_044906	hin
HIN_044941	hin
HIN_009654	hin
HIN_024758	hin
HIN_024767	hin
HIN_025426	hin
HIN_043840	hin
HIN_003269	hin
HIN_019992	hin
HIN_021620	hin
HIN_035055	hin
HIN_097675	hin
HIN_098460	hin
HIN_017385	hin
HIN_024992	hin
HIN_027388	hin
HIN_040167	hin
HIN_047804	hin
HIN_049168	hin
HIN_016320	hin
HIN_016340	hin
HIN_040518	hin
HIN_040551	hin
HIN_092887	hin
HIN_092898	hin
HIN_018536	hin
HIN_018539	hin
HIN_078419	hin
HIN_078421	hin
HIN_011693	hin
HIN_011702	hin
HIN_079258	hin
HIN_079264	hin
HIN_086549	hin
HIN_086555	hin
HIN_015488	hin
HIN_016504	hin
HIN_034520	hin
HIN_036851	hin
HIN_045558	hin
HIN_045562	hin
HIN_058116	hin
HIN_050695	hin
HIN_023466	hin
HIN_023467	hin
HIN_038192	hin
HIN_075923	hin
HIN_080168	hin
HIN_030510	hin
HIN_040925	hin
HIN_061258	hin
HIN_066470	hin
HIN_025855	hin
HIN_025856	hin
HIN_025857	hin
HIN_043857	hin
HIN_043859	hin
HIN_046856	hin
HIN_051349	hin
HIN_062732	hin
HIN_092180	hin
HIN_096202	hin
HIN_039683	hin
HIN_059129	hin
HIN_059519	hin
HIN_064949	hin
HIN_049256	hin
HIN_057994	hin
HIN_079014	hin
HIN_091652	hin
HIN_092952	hin
HIN_052368	hin
HIN_071453	hin
HIN_074243	hin
HIN_083477	hin
HIN_003759	hin
HIN_050842	hin
HIN_050855	hin
HIN_084206	hin
HIN_087782	hin
HIN_004264	hin
HIN_031860	hin
HIN_064252	hin
HIN_086909	hin
HIN_007091	hin
HIN_029808	hin
HIN_029813	hin
HIN_044430	hin
HIN_085679	hin
HIN_000628	hin
HIN_002443	hin
HIN_003036	hin
HIN_027187	hin
HIN_027857	hin
HIN_078581	hin
HIN_080241	hin
HIN_030076	hin
HIN_048977	hin
HIN_062816	hin
HIN_018845	hin
HIN_019962	hin
HIN_063711	hin
HIN_073591	hin
HIN_019233	hin
HIN_019235	hin
HIN_049482	hin
HIN_021576	hin
HIN_074655	hin
HIN_074658	hin
HIN_087586	hin
HIN_090000	hin
HIN_020880	hin
HIN_058570	hin
HIN_064654	hin
HIN_081362	hin
HIN_091178	hin
HIN_012237	hin
HIN_054179	hin
HIN_091457	hin
HIN_016200	hin
HIN_036053	hin
HIN_036433	hin
HIN_037413	hin
HIN_037414	hin
HIN_035977	hin
HIN_036512	hin
HIN_081793	hin
HIN_082465	hin
HIN_033342	hin
HIN_034339	hin
HIN_062366	hin
HIN_069974	hin
HIN_033211	hin
HIN_033729	hin
HIN_042754	hin
HIN_069137	hin
HIN_034362	hin
HIN_062351	hin
HIN_069996	hin
HIN_034269	hin
HIN_057094	hin
HIN_069883	hin
HIN_077948	hin
HIN_037453	hin
HIN_049292	hin
HIN_057956	hin
HIN_078972	hin
HIN_026193	hin
HIN_039853	hin
HIN_085192	hin
HIN_030303	hin
HIN_038570	hin
HIN_050549	hin
HIN_050551	hin
HIN_028206	hin
HIN_085036	hin
HIN_096039	hin
HIN_028987	hin
HIN_053807	hin
HIN_088897	hin
HIN_092988	hin
HIN_072563	hin
HIN_080315	hin
HIN_097248	hin
HIN_098020	hin
HIN_047167	hin
HIN_057398	hin
HIN_063776	hin
HIN_100020	hin
HIN_043332	hin
HIN_050685	hin
HIN_075679	hin
HIN_094172	hin
HIN_044709	hin
HIN_050626	hin
HIN_054551	hin
HIN_092425	hin
HIN_052624	hin
HIN_077749	hin
HIN_090646	hin
HIN_093672	hin
HIN_052356	hin
HIN_071457	hin
HIN_074247	hin
HIN_083466	hin
HIN_054080	hin
HIN_059901	hin
HIN_072993	hin
HIN_005489	hin
HIN_025163	hin
HIN_006005	hin
HIN_029917	hin
HIN_040223	hin
HIN_056855	hin
HIN_032510	hin
HIN_002023	hin
HIN_002036	hin
HIN_015779	hin
HIN_003672	hin
HIN_030019	hin
HIN_049032	hin
HIN_062864	hin
HIN_002959	hin
HIN_078663	hin
HIN_080170	hin
HIN_083319	hin
HIN_003392	hin
HIN_059696	hin
HIN_077502	hin
HIN_089836	hin
HIN_020628	hin
HIN_046525	hin
HIN_053218	hin
HIN_079872	hin
HIN_020921	hin
HIN_064609	hin
HIN_081320	hin
HIN_091002	hin
HIN_020869	hin
HIN_058565	hin
HIN_064658	hin
HIN_091182	hin
HIN_018929	hin
HIN_069353	hin
HIN_023957	hin
HIN_030705	hin
HIN_068020	hin
HIN_071091	hin
HIN_021610	hin
HIN_035043	hin
HIN_085803	hin
HIN_097666	hin
HIN_018263	hin
HIN_033260	hin
HIN_065101	hin
HIN_070048	hin
HIN_018451	hin
HIN_033446	hin
HIN_055694	hin
HIN_083862	hin
HIN_016198	hin
HIN_017371	hin
HIN_047793	hin
HIN_049157	hin
HIN_039677	hin
HIN_036093	hin
HIN_036393	hin
HIN_037352	hin
HIN_051198	hin
HIN_075134	hin
HIN_093009	hin
HIN_048804	hin
HIN_069566	hin
HIN_075379	hin
HIN_044533	hin
HIN_089217	hin
HIN_047159	hin
HIN_057409	hin
HIN_063783	hin
HIN_023551	hin
HIN_082387	hin
HIN_024943	hin
HIN_027453	hin
HIN_067016	hin
HIN_024956	hin
HIN_027426	hin
HIN_040228	hin
HIN_024411	hin
HIN_046341	hin
HIN_065590	hin
HIN_033969	hin
HIN_034078	hin
HIN_079999	hin
HIN_034502	hin
HIN_050026	hin
HIN_084941	hin
HIN_033856	hin
HIN_034182	hin
HIN_067915	hin
HIN_029086	hin
HIN_030283	hin
HIN_038545	hin
HIN_050534	hin
HIN_060108	hin
HIN_063090	hin
HIN_081434	hin
HIN_054844	hin
HIN_067814	hin
HIN_079348	hin
HIN_057800	hin
HIN_085339	hin
HIN_087723	hin
HIN_096380	hin
HIN_096386	hin
HIN_099636	hin
HIN_085412	hin
HIN_091959	hin
HIN_095193	hin
HIN_083207	hin
HIN_088184	hin
HIN_092461	hin
HIN_070218	hin
HIN_094513	hin
HIN_095369	hin
HIN_080764	hin
HIN_082091	hin
HIN_090072	hin
HIN_023465	hin
HIN_038193	hin
HIN_075924	hin
HIN_044397	hin
HIN_090709	hin
HIN_078517	hin
HIN_005997	hin
HIN_006022	hin
HIN_029931	hin
HIN_056878	hin
HIN_006152	hin
HIN_014362	hin
HIN_023803	hin
HIN_006512	hin
HIN_008195	hin
HIN_046149	hin
HIN_008957	hin
HIN_029151	hin
HIN_096088	hin
HIN_009737	hin
HIN_024711	hin
HIN_025312	hin
HIN_001322	hin
HIN_001324	hin
HIN_015003	hin
HIN_001199	hin
HIN_001202	hin
HIN_013084	hin
HIN_001172	hin
HIN_013024	hin
HIN_013061	hin
HIN_005551	hin
HIN_027665	hin
HIN_048206	hin
HIN_004101	hin
HIN_060722	hin
HIN_060954	hin
HIN_004237	hin
HIN_031889	hin
HIN_064280	hin
HIN_019212	hin
HIN_049504	hin
HIN_053545	hin
HIN_020305	hin
HIN_031023	hin
HIN_060323	hin
HIN_020420	hin
HIN_030903	hin
HIN_041252	hin
HIN_018434	hin
HIN_055710	hin
HIN_018437	hin
HIN_033428	hin
HIN_055707	hin
HIN_022266	hin
HIN_036671	hin
HIN_056577	hin
HIN_022320	hin
HIN_036703	hin
HIN_056548	hin
HIN_023286	hin
HIN_038370	hin
HIN_050364	hin
HIN_023137	hin
HIN_047368	hin
HIN_023162	hin
HIN_043954	hin
HIN_047344	hin
HIN_021208	hin
HIN_031951	hin
HIN_012217	hin
HIN_054112	hin
HIN_060996	hin
HIN_011426	hin
HIN_052234	hin
HIN_095248	hin
HIN_090824	hin
HIN_010499	hin
HIN_032334	hin
HIN_072613	hin
HIN_009946	hin
HIN_024872	hin
HIN_091708	hin
HIN_017627	hin
HIN_052725	hin
HIN_076391	hin
HIN_015319	hin
HIN_029546	hin
HIN_016264	hin
HIN_040625	hin
HIN_071187	hin
HIN_026216	hin
HIN_039871	hin
HIN_020309	hin
HIN_031015	hin
HIN_037697	hin
HIN_058222	hin
HIN_035730	hin
HIN_051411	hin
HIN_030041	hin
HIN_002167	hin
HIN_015908	hin
HIN_001383	hin
HIN_013225	hin
HIN_015724	hin
HIN_078154	hin
HIN_059533	hin
HIN_047227	hin
HIN_089269	hin
HIN_048753	hin
HIN_048756	hin
HIN_044525	hin
HIN_089749	hin
HIN_052414	hin
HIN_091366	hin
HIN_082116	hin
HIN_090089	hin
HIN_073534	hin
HIN_079066	hin
HIN_006654	hin
HIN_008640	hin
HIN_009800	hin
HIN_017032	hin
HIN_017053	hin
HIN_018097	hin
HIN_018448	hin
HIN_018844	hin
HIN_020570	hin
HIN_025252	hin
HIN_029024	hin
HIN_032218	hin
HIN_032339	hin
HIN_032363	hin
HIN_033442	hin
HIN_036848	hin
HIN_037961	hin
HIN_038563	hin
HIN_038936	hin
HIN_039680	hin
HIN_039761	hin
HIN_041395	hin
HIN_044339	hin
HIN_045921	hin
HIN_047160	hin
HIN_048754	hin
HIN_050327	hin
HIN_051650	hin
HIN_053656	hin
HIN_053736	hin
HIN_053860	hin
HIN_055223	hin
HIN_056436	hin
HIN_057408	hin
HIN_062280	hin
HIN_062284	hin
HIN_063276	hin
HIN_063782	hin
HIN_064953	hin
HIN_064961	hin
HIN_072029	hin
HIN_074611	hin
HIN_075803	hin
HIN_076408	hin
HIN_082198	hin
HIN_082570	hin
HIN_082716	hin
HIN_083866	hin
HIN_085919	hin
HIN_088814	hin
HIN_088865	hin
HIN_093412	hin
HIN_093432	hin
HIN_096370	hin
HIN_100548	hin
HIN_100549	hin
SS50377_21346	spiro
SS50377_21386	spiro
SS50377_21414	spiro
SS50377_21442	spiro
SS50377_21453	spiro
SS50377_21561	spiro
SS50377_21583	spiro
SS50377_21613	spiro
SS50377_21631	spiro
SS50377_21666	spiro
